country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Country_376,0.3488190603354676,430.98627584140155,2.6413397949385353,16.5317745425485,92.89422837524846,27.50669262350972,67.3169850276565,78.3445138261247,65.47207408613409,6.229537881300007
Country_377,0.7989742661738702,497.7126444375246,43.97472579386525,14.238111324788271,91.47847786228583,70.33486458376615,46.5143394276776,7.493670878288339,32.01084288220323,2.6400146770583333
Country_378,0.5664180477915627,455.1815224851023,10.26771019334256,28.64251392632719,45.210626186139976,53.65067028392022,3.1136721752913377,85.64826095929037,27.74035332637532,45.39331998833348
Country_379,0.3814616333224996,492.8693232404957,96.71589265609288,6.824198860044772,93.64662909034172,48.923667040722606,24.994211703297786,56.499631145021745,25.1611449969957,15.686148994762583
Country_380,0.4869146199244728,474.1389093102165,39.70325715075472,43.98319122297831,87.9984634787184,63.10998957079449,62.31673112704895,48.40461022439268,39.05463670781339,75.8178354149659
Country_381,0.790645892715426,456.34348207327804,58.95999054603779,32.09072634372155,7.811137469264184,43.85384183897959,44.06902162475848,64.25157183716027,20.363569048643914,0.27363611190422965
Country_382,0.9258740578551994,493.39863062761094,19.76958985086893,9.912635905771062,30.72141265541628,29.635416729934725,41.85872793398746,23.767941956048954,51.60113570931708,10.076765168368008
Country_383,0.0843332512672208,487.9697249894514,27.2983616770873,4.449529986886031,8.73930518543602,45.40405461788048,45.462137164028384,33.60026454450294,34.367435586168796,28.87986779003925
Country_384,0.5767751320585707,474.69000234978745,1.2715474832191598,47.615632714725145,12.52993146228355,58.87725409038775,47.23697163258572,75.57543311255334,6.2235910259843985,4.631614056048949
Country_385,0.7005990917133277,451.29302536771354,45.90099910672435,12.96324095793891,44.29036664537854,56.86211499658661,13.044533649083355,34.80880821581424,30.71490697312833,62.215800050322464
Country_386,0.8893561778331213,525.8740585668309,70.82740670338771,46.749732035191855,63.43638695429766,38.67600758308325,83.21428732409349,19.104091946412595,30.22574620071935,12.888068609609926
Country_387,0.5361996495576199,418.8219420442533,22.38891098803838,13.838455292354269,52.309153339189095,26.765416156587985,12.569529932722102,85.42621715415085,58.58242301122627,90.02073878055519
Country_388,0.03170283558145981,502.74269970766466,97.42453017474934,28.62446557110851,43.363875478183076,12.079387439452516,61.99371376261812,98.38798825821507,2.60995138746668,81.57323676669164
Country_389,0.37676527643189706,429.2599242173186,99.99596197166822,39.9657425652124,50.73177041243131,71.19310390215979,73.23325751331546,83.77822045001706,65.18296260374021,4.860467226244891
Country_390,0.43743552672849173,466.4408707913892,24.59186060983737,17.68956814006516,62.56284405653375,12.973144947637582,55.49651391273625,53.05750356061978,57.1854682118756,70.66903103134501
Country_391,0.8481401191569,536.3046697068548,37.948749629352086,13.988725790037632,50.2833874173966,98.11487119025723,82.66462499050388,52.97481451461907,44.82270305486495,49.496527004740074
Country_392,0.9623894015229539,566.5919755706834,73.8023005654065,47.01030081621497,67.11617448144519,63.758416038154685,75.16986249091026,31.68294302116412,72.41424803772887,3.017354058828059
Country_393,0.22138953465327416,554.3044310599548,93.40433018793505,36.47176407264709,72.41052408915257,68.58615065582504,69.72851286542908,35.030857300044374,5.015740738002594,60.9008850512063
Country_394,0.1747200947568509,417.5623919822369,70.33764418045232,2.302156229294755,73.06096637425907,82.78918836481854,29.43111192212483,26.807518496349726,95.80903614262743,86.07523161094282
Country_395,0.20417877314403754,480.83707163471615,25.055429577202347,12.935584206284723,44.871403888510166,25.442956251515124,1.890821757605976,78.75887075427171,61.53746240905035,92.1214939469078
Country_396,0.04304170148460562,552.0698962685608,80.4561072553449,38.444560817027835,74.07513011836826,65.63260964269374,93.58378878455238,16.807217720738134,97.93326819793097,50.06004129815296
Country_397,0.9710446717308406,503.6217938282883,51.050592766658745,19.52336456076356,37.9940105791927,58.539553624627494,77.68047838182387,24.87758285807795,45.20580900744218,45.791083829798715
Country_398,0.08090104090130701,509.6129466885825,9.982364229024176,33.927820023712975,10.707203987494863,14.846850036931158,55.37922276490129,30.78541998673231,14.457912062649958,97.67593954315659
Country_399,0.15567651524714665,445.95518385201893,3.1215960081262817,31.107592262267204,42.160908677862984,1.4402024070750086,90.76047398366298,17.025793240674393,92.05861114401854,98.47715021124473
Country_400,0.04959564315589404,436.16291454801467,46.374629951241644,17.02837463791566,25.981076066029797,70.1306223210187,65.97903912276713,67.49862859607289,22.128898599819856,66.10181976678466
Country_401,0.2485455882403803,520.6382681613565,78.97905223054207,27.69230721827951,92.67488813214332,2.32547957111946,45.52870634466648,23.780841112205174,98.74939567008603,92.51647639650962
Country_402,0.8657439583472183,574.2736981673181,18.841565885314683,20.536532446855105,26.3605134598348,22.394147283850675,28.717328719189993,2.3361669965865084,29.37784665025265,33.42445889538425
Country_403,0.6179542967533836,570.8097767988926,32.196895234935276,27.574258446444507,34.239101635722534,73.44460327663273,67.11431047060235,13.990845487270375,39.81861996231455,4.983717690275979
Country_404,0.36135990989509115,429.01532017374495,74.35753655280955,21.83820376167264,59.71767301947772,79.57115432872752,21.31957550055542,20.605944485033877,81.59824852306264,75.55001302312316
Country_405,0.94234836748141,591.2892838925399,28.994801265119328,48.39167744371358,67.139296203913,9.412421921776659,81.63727439046447,39.44144741943306,43.23111667632909,41.784408223168455
Country_406,0.6169253635955164,463.8260725345187,54.38945561960785,1.4187521648540258,7.724706601014875,50.06204003934533,21.16282394240048,7.357546081618538,24.464536543324634,13.623208166691835
Country_407,0.10104461346555227,435.30005187417345,95.38693847519336,39.299081742617716,92.85871037886668,64.59123096361783,77.81398876608819,80.41685354334383,11.99715239604352,22.862013586165887
Country_408,0.7835652016765718,563.2856789173846,51.718469045944005,30.68997924707471,59.90799677552282,58.25699194363868,39.28544458063096,47.325260351814904,22.403779390078483,76.99322585777921
Country_409,0.7033071664567699,545.5174087484464,6.443089657448531,7.245844372455262,24.528741403720346,5.511678947271726,87.69480892377108,75.74997171231719,94.96335601049395,68.09599499292679
Country_410,0.9195363309622538,503.34804694897724,47.16091858292343,11.001833399983896,88.48459967328688,0.6538699970500494,88.69168899967733,13.579168768352456,21.72193702875258,75.04738612306807
Country_411,0.46695785137349755,556.3561222271911,19.432389042477062,25.39338718028454,70.52836989682139,73.44635254163141,91.12053869034911,2.261680202339089,35.86689559397025,66.66989035652907
Country_412,0.927201690393657,528.2032182554361,19.362831857806594,12.720911302027583,88.09831518611698,52.64978195612303,62.74744950810034,23.481933674167454,30.281663190709164,31.515181490942545
Country_413,0.09307179249475206,586.3633945080369,80.92745142219005,1.6071332658005588,5.145877116836828,57.44959685777135,29.334027554432083,98.80580097792931,68.00698597474947,76.96338523510924
Country_414,0.24670911098712223,540.3852397405101,5.130410653937112,42.51594582529787,32.231022707477905,63.1825315537487,61.965744282935,58.101146875533985,4.19955519788775,67.30483325997197
Country_415,0.7014660717393483,585.330284154169,33.24337977991077,16.267401895023504,67.02924384469043,80.34794564615191,53.025044546169156,6.643874090899093,95.36640734567929,58.870271400447336
Country_416,0.8574797628024875,542.5162216573469,31.185400091630157,25.62554270765943,69.75641724628439,15.25698925197414,75.68982818317939,86.03794498150809,77.07863993562573,45.97014981880929
Country_417,0.09129803916056844,455.0821977698085,18.358233046975837,32.40021465987586,10.872863827098822,20.020377768357477,94.95765657506313,61.74151330341644,30.2989891451091,73.94726607265474
Country_418,0.024482579042084063,512.629152229203,92.70347771134854,42.68988708164419,31.232979804699678,21.09928644390797,53.85290469920927,57.73432525272288,53.34212040289624,86.32180805026718
Country_419,0.6474181733068439,444.0909318556761,84.735972182814,6.7789469165845775,39.088135265004,14.652512251298566,79.63993863741815,87.98813729121431,6.350060372971155,90.82826233560354
Country_420,0.2680539012043238,425.9697077609753,65.93580525840271,24.694804813686705,21.034966283659383,70.72524024130502,91.58327222074108,26.167751350982048,19.288296478538836,72.14408928323266
Country_421,0.3617036508593292,449.75772694275116,31.144092438119742,42.61864307516101,10.91249008717189,62.517062199552875,68.26416417676947,31.809067489381693,14.722820216188692,96.03370788152056
Country_422,0.8548004493265959,402.4400717569092,69.26039336864594,33.53699586357474,32.47382150165522,93.21270782080482,13.513774308337045,87.71470533770336,14.84569696925927,79.28934995452306
Country_423,0.5268018475238463,522.1465384744673,15.753974910947587,21.662559780302697,39.624272530780594,16.290660379726585,68.7924383773456,27.30441824299469,14.097761044322688,65.70356065248319
Country_424,0.004902222156253799,575.3600153339444,83.7253927734188,13.866843176859645,75.55881173899559,32.206938528397224,15.833070513546598,27.708263144465207,59.248937510337974,36.35696411692195
Country_425,0.4024040301660342,416.8580459846818,60.952823232647766,0.7258925110142367,8.169573131196362,97.94514573531808,92.67056331080028,68.24231165871518,78.0309917006067,44.79729706703417
Country_426,0.09645041748264838,446.9454354733997,50.20072860707371,39.58586121327113,83.43628907752986,66.81943963321963,60.640961597432096,64.48182687453374,25.707023920719973,49.25423506090989
Country_427,0.8823384859421566,432.60159600949044,28.41362443538811,3.7188573321061122,40.48407575909193,82.77997709012932,65.09788496668233,21.515692971793865,28.99459664190508,41.24444024692422
Country_428,0.6199646195633507,471.87746699386634,38.482392363484166,49.674523260927806,86.74930785096338,32.14287512215408,66.1873764775313,70.57042370246401,92.27595498873215,77.17466815374246
Country_429,0.7782408383187855,524.3753362748718,50.48191691699066,39.48630098633042,71.49456974087218,98.16877169281022,21.176592652658076,94.62351133177405,83.82461462584632,4.584949190772769
Country_430,0.29244690591587075,426.9045825735488,95.31047774448426,14.888074256501799,49.94684347775511,62.720390826724795,88.47321426875133,32.14499353120278,35.23393156568233,98.98034327776617
Country_431,0.0763911146134092,419.2280918009593,23.423209289127943,3.0844551658213035,16.73702364870614,81.02840494937873,81.31702924165648,72.36782850314721,68.20685726181699,42.69420166796808
Country_432,0.3281297006320867,525.2632886549569,78.0708105195388,25.59537090092796,51.14087699018158,35.06867548702085,43.2420805342835,50.54014109219387,59.94040550560358,81.24929489196894
Country_433,0.8155893292413686,425.1632323092062,72.27314560794022,30.926490656741034,33.74074740079036,47.5025369870013,79.48334743425058,37.318812664763,43.57824226488417,54.215511475242565
Country_434,0.7362433963204446,485.5776550889416,79.4403691240587,37.10169549419793,22.25965462457703,8.838554180254675,1.3029600448488887,70.42514881977849,50.436382928949975,24.489073456552013
Country_435,0.5407283092964604,441.6260372386394,55.425973275912895,17.50617223349612,52.7264301025879,22.68707540271072,13.441723534780891,99.07694111665111,73.1700435963281,23.026383770681313
Country_436,0.016130410476424606,527.0411288561842,8.339559705967414,0.6032987856423755,23.374969516665857,50.93569046722253,7.654272567935971,2.003151521925106,31.48628476600117,57.90742744876022
Country_437,0.7428562193701229,584.9910448180133,79.7865467417147,12.0050992110103,69.66786612797092,79.99084912268816,91.49197366180867,34.93230490859166,71.8042369200997,21.648878950867324
Country_438,0.4295463704212691,437.49922701640315,28.223811363938534,45.95690153749344,30.585507310062564,73.32126009286331,47.029359068261286,97.39916463117989,96.68012020326475,21.867084520782353
Country_439,0.20394499407864464,491.41267055026253,76.47832514230699,31.094314346189663,72.3565331325126,84.75436395804368,57.81444604231118,51.33474205209995,93.08397842544309,45.20523575099744
Country_440,0.26523908146405406,578.2438523794935,75.74076280938714,18.36851808100226,92.98329357572902,5.113565583728108,96.13965656040054,50.56237306325535,99.83739761013467,39.86392041789981
Country_441,0.9202450562852934,495.85164621881967,2.378846244768784,0.8927924377128804,73.49402842852689,33.065863532399,60.11390287835854,24.44820218168401,81.70879896136111,24.11789652077754
Country_442,0.41167057860253164,408.72033169914073,0.729234686303526,40.17873631112433,51.45390487780631,67.39579695363014,1.6780661767393235,27.31027933006066,89.89527419604839,25.04342223236299
Country_443,0.5791527027245144,552.869285193162,85.63093211188458,0.17174986564086892,0.5274253150468144,98.33717297500085,4.123770890942435,12.762176093941102,17.87343066366275,26.936846763078005
Country_444,0.4140858910196813,595.8561326492527,60.622302010787706,9.267416808170776,48.405592282564825,48.0940304067354,41.50347814582007,70.17252752210761,6.575254738031033,52.87101418927277
Country_445,0.8227536436596659,501.96445043230216,58.605299554320936,11.363996188435394,7.903100166636968,56.65809428566321,36.704480470030575,43.02836450516907,15.980573449795587,63.16856313886722
Country_446,0.8110528109703345,473.73342574062684,67.0745261398968,41.50287223874205,39.1192893274388,37.128253084194675,86.87064239713557,9.542710991110702,50.026782849652506,26.243821046831684
Country_447,0.8753618213709145,502.38654830234333,12.829947954792754,7.674631848465019,50.556451620759915,63.31269502664695,84.34802496725469,58.882679951107754,39.190061773956664,66.43600271659437
Country_448,0.35854199442286905,562.2741300913225,21.682862642551328,40.556268883864824,18.4721912916305,37.21329700149808,47.90343442078652,51.05005719075598,19.86228097525391,82.49481639978492
